,x,y,bedrock_altitude (m)
1170,-1534999.8,-247499.72,-838.3200049805979
1180,-1529999.8,-247499.72,-756.704673112395
1190,-1524999.8,-247499.72,-647.4856956633873
1209,-1615499.8,-246999.72,-418.1670941587821
1219,-1610499.8,-246999.72,32.133430448759206
1229,-1605499.8,-246999.72,-290.824955559472
1239,-1600499.8,-246999.72,-472.5520412772259
1249,-1595499.8,-246999.72,-770.5419895757614
1259,-1590499.8,-246999.72,-1094.915437813238
1269,-1585499.8,-246999.72,-1187.9412797917594
1279,-1580499.8,-246999.72,-1292.9760423333837
1289,-1575499.8,-246999.72,-1264.2714778416894
1299,-1570499.8,-246999.72,-1132.320099516896
1309,-1565499.8,-246999.72,-750.9635393436524
1319,-1560499.8,-246999.72,-415.2600641008136
1329,-1555499.8,-246999.72,-846.9076389218791
1339,-1550499.8,-246999.72,-1129.743875274566
1349,-1545499.8,-246999.72,-842.1343793816864
1359,-1540499.8,-246999.72,-991.0210655689864
1369,-1535499.8,-246999.72,-940.6996915123724
1379,-1530499.8,-246999.72,-730.3812030525246
1389,-1525499.8,-246999.72,-734.5383444327035
1399,-1520499.8,-246999.72,-580.521598553136
1408,-1615999.8,-246499.72,8.52462226268069
1418,-1610999.8,-246499.72,-38.81924552294285
1428,-1605999.8,-246499.72,-415.4172222908415
1438,-1600999.8,-246499.72,-448.12455106552846
1448,-1595999.8,-246499.72,-763.2817126558705
1458,-1590999.8,-246499.72,-1160.4461791449385
1468,-1585999.8,-246499.72,-1282.7060825675658
1478,-1580999.8,-246499.72,-1288.7750270375936
1488,-1575999.8,-246499.72,-1266.39222531597
1498,-1570999.8,-246499.72,-1120.01087622526
1508,-1565999.8,-246499.72,-1048.1115882669833
1518,-1560999.8,-246499.72,-464.4322945933658
1528,-1555999.8,-246499.72,-847.7114669280093
1538,-1550999.8,-246499.72,-1023.643120101588
1548,-1545999.8,-246499.72,-1030.648300453124
1558,-1540999.8,-246499.72,-994.6447776109668
1568,-1535999.8,-246499.72,-1003.8381870853264
1578,-1530999.8,-246499.72,-723.7035606071541
1588,-1525999.8,-246499.72,-615.3000210816343
1598,-1520999.8,-246499.72,-599.6058562368997
1607,-1616499.8,-245999.72,-106.0196776359085
1617,-1611499.8,-245999.72,-70.70585870342049
1627,-1606499.8,-245999.72,-202.84759164200247
1637,-1601499.8,-245999.72,-312.51794448208534
1647,-1596499.8,-245999.72,-762.5360860014306
1657,-1591499.8,-245999.72,-1120.372373141474
1667,-1586499.8,-245999.72,-1235.440123394171
1677,-1581499.8,-245999.72,-1279.6584401386806
1687,-1576499.8,-245999.72,-1257.2918634753146
1697,-1571499.8,-245999.72,-1048.294501571332
1707,-1566499.8,-245999.72,-1146.2479229068883
1717,-1561499.8,-245999.72,-546.7634132660488
1727,-1556499.8,-245999.72,-772.0591674874811
1737,-1551499.8,-245999.72,-986.5368679960126
1747,-1546499.8,-245999.72,-1043.781001970911
1757,-1541499.8,-245999.72,-983.1239122853084
1767,-1536499.8,-245999.72,-1026.9073448185254
1777,-1531499.8,-245999.72,-717.5007427309918
1787,-1526499.8,-245999.72,-571.2206931873844
1797,-1521499.8,-245999.72,-571.0499026529717
1806,-1616999.8,-245499.72,5.238823016835629
1816,-1611999.8,-245499.72,-308.691831409176
1826,-1606999.8,-245499.72,-357.41011036139605
1836,-1601999.8,-245499.72,-271.5852028703424
1846,-1596999.8,-245499.72,-831.2540688398302
1856,-1591999.8,-245499.72,-1019.2694439454392
1866,-1586999.8,-245499.72,-1175.2107008768885
1876,-1581999.8,-245499.72,-1238.537955112689
