,x,y,bedrock_altitude (m)
1160,-1539999.8,-247499.72,-1010.8154747187708
1170,-1534999.8,-247499.72,-838.3200049805979
1180,-1529999.8,-247499.72,-756.704673112395
1190,-1524999.8,-247499.72,-647.4856956633873
1201,-1619499.8,-246999.72,140.69143939361737
1211,-1614499.8,-246999.72,-442.10685548137207
1221,-1609499.8,-246999.72,-17.787301902188542
1231,-1604499.8,-246999.72,-252.75725631243
1241,-1599499.8,-246999.72,-532.6708884410506
1251,-1594499.8,-246999.72,-765.300468934719
1261,-1589499.8,-246999.72,-1168.4799633655152
1271,-1584499.8,-246999.72,-1283.390968161272
1281,-1579499.8,-246999.72,-1270.2349677383029
1291,-1574499.8,-246999.72,-1276.9556586168244
1301,-1569499.8,-246999.72,-1184.6719622198705
1311,-1564499.8,-246999.72,-849.4559742050977
1321,-1559499.8,-246999.72,-422.060600725956
1331,-1554499.8,-246999.72,-812.708597354552
1341,-1549499.8,-246999.72,-963.3894346369462
1351,-1544499.8,-246999.72,-972.1173597623348
1361,-1539499.8,-246999.72,-1014.2666685855346
1371,-1534499.8,-246999.72,-903.3054857602712
1381,-1529499.8,-246999.72,-703.4312706208611
1391,-1524499.8,-246999.72,-678.6428007783962
1402,-1618999.8,-246499.72,221.8765205110145
1412,-1613999.8,-246499.72,-307.1408412849396
1422,-1608999.8,-246499.72,-223.1505936397702
1432,-1603999.8,-246499.72,-452.1136139213401
1442,-1598999.8,-246499.72,-433.9051661435247
1452,-1593999.8,-246499.72,-847.0112334823897
1462,-1588999.8,-246499.72,-1153.2128461048324
1472,-1583999.8,-246499.72,-1308.0375182861403
1482,-1578999.8,-246499.72,-1274.4993887843584
1492,-1573999.8,-246499.72,-1243.6118408122975
1502,-1568999.8,-246499.72,-1106.2945476952882
1512,-1563999.8,-246499.72,-981.4639749729776
1522,-1558999.8,-246499.72,-607.4629895005595
1532,-1553999.8,-246499.72,-953.3706759930928
1542,-1548999.8,-246499.72,-1052.2358447238328
1552,-1543999.8,-246499.72,-1000.67485631231
1562,-1538999.8,-246499.72,-1034.0812866024014
1572,-1533999.8,-246499.72,-805.4875030030233
1582,-1528999.8,-246499.72,-857.8182591902024
1592,-1523999.8,-246499.72,-597.284144877396
1603,-1618499.8,-245999.72,68.58327981519645
1613,-1613499.8,-245999.72,-224.06107421163205
1623,-1608499.8,-245999.72,-147.68830092406432
1633,-1603499.8,-245999.72,-322.3300591105913
