,x,y,bedrock_altitude (m)
4567,-1536499.8,-238999.72,-783.4856140643445
4587,-1526499.8,-238999.72,-780.3902717014349
4608,-1615999.8,-238499.72,-87.74886781394932
4628,-1605999.8,-238499.72,-357.81850167711883
4648,-1595999.8,-238499.72,-759.4955161076356
4668,-1585999.8,-238499.72,-1180.2040889299208
4688,-1575999.8,-238499.72,-1172.6088803605055
4708,-1565999.8,-238499.72,-1218.4394558735926
4728,-1555999.8,-238499.72,-866.6800630891679
4748,-1545999.8,-238499.72,-971.9500002036164
4768,-1535999.8,-238499.72,-889.1406160530531
4788,-1525999.8,-238499.72,-866.2023840455905
4809,-1615499.8,-237999.72,-27.642037921654374
4829,-1605499.8,-237999.72,-402.7759673560489
4849,-1595499.8,-237999.72,-741.7449747317179
4869,-1585499.8,-237999.72,-1103.8466275890164
4889,-1575499.8,-237999.72,-1342.7671153080744
4909,-1565499.8,-237999.72,-1210.933340767738
4929,-1555499.8,-237999.72,-842.4196372745132
4949,-1545499.8,-237999.72,-1026.6006502215523
4969,-1535499.8,-237999.72,-917.098853582912
4989,-1525499.8,-237999.72,-740.8319223101637
5010,-1614999.8,-237499.72,-245.96153556354315
5030,-1604999.8,-237499.72,-452.9762226430721
5050,-1594999.8,-237499.72,-771.8229807962938
5070,-1584999.8,-237499.72,-977.386200418314
5090,-1574999.8,-237499.72,-1364.2703067226676
5110,-1564999.8,-237499.72,-1220.016235176313
5130,-1554999.8,-237499.72,-846.3071083803945
5150,-1544999.8,-237499.72,-822.8913024852458
5170,-1534999.8,-237499.72,-955.5818770172212
5190,-1524999.8,-237499.72,-646.4896870392397
5211,-1614499.8,-236999.72,-84.64144482039097
5231,-1604499.8,-236999.72,-416.3529157791728
5251,-1594499.8,-236999.72,-713.6617448423145
5271,-1584499.8,-236999.72,-1070.1267494038293
5291,-1574499.8,-236999.72,-1285.695191409696
5311,-1564499.8,-236999.72,-1217.048213047848
5331,-1554499.8,-236999.72,-875.9332096367663
5351,-1544499.8,-236999.72,-832.1676491836282
5371,-1534499.8,-236999.72,-883.4526003201388
5391,-1524499.8,-236999.72,-755.6207467913013
5412,-1613999.8,-236499.72,-222.2438593242892
5432,-1603999.8,-236499.72,-435.5853410654035
5452,-1593999.8,-236499.72,-933.8702942829092
5472,-1583999.8,-236499.72,-1117.3439211940004
5492,-1573999.8,-236499.72,-1288.2265328130236
5512,-1563999.8,-236499.72,-1231.4136940158646
5532,-1553999.8,-236499.72,-743.7635333325579
5552,-1543999.8,-236499.72,-926.3826642262152
5572,-1533999.8,-236499.72,-839.1195217997281
5592,-1523999.8,-236499.72,-774.5250030375637
5613,-1613499.8,-235999.72,26.957939394873424
5633,-1603499.8,-235999.72,-47.70864696137828
5653,-1593499.8,-235999.72,-927.2352093574414
5673,-1583499.8,-235999.72,-1056.0058590866274
5693,-1573499.8,-235999.72,-1309.4372436513404
5713,-1563499.8,-235999.72,-1155.7774662612842
5733,-1553499.8,-235999.72,-886.3272443656781
5753,-1543499.8,-235999.72,-1026.035517639427
5773,-1533499.8,-235999.72,-812.5082376806246
5793,-1523499.8,-235999.72,-669.4739909848868
5814,-1612999.8,-235499.72,7.422481000339545
5834,-1602999.8,-235499.72,-273.8177820099905
5854,-1592999.8,-235499.72,-813.7594690052015
5874,-1582999.8,-235499.72,-900.9278859197012
5894,-1572999.8,-235499.72,-1280.9328019178931
5914,-1562999.8,-235499.72,-1115.770868672396
5934,-1552999.8,-235499.72,-868.385332426575
5954,-1542999.8,-235499.72,-896.703518654967
5974,-1532999.8,-235499.72,-863.2794693175914
5994,-1522999.8,-235499.72,-731.8383886254522
6015,-1612499.8,-234999.72,-260.08584530103616
6035,-1602499.8,-234999.72,-203.57706154534827
6055,-1592499.8,-234999.72,-785.7773431461623
6075,-1582499.8,-234999.72,-800.90072726169
6095,-1572499.8,-234999.72,-1300.1261089383445
6115,-1562499.8,-234999.72,-1120.455795735452
6135,-1552499.8,-234999.72,-736.9890921518387
6155,-1542499.8,-234999.72,-938.844241628007
6175,-1532499.8,-234999.72,-702.484215684411
6195,-1522499.8,-234999.72,-727.025725376562
6216,-1611999.8,-234499.72,-368.26319154338256
6236,-1601999.8,-234499.72,-406.2770285606263
6256,-1591999.8,-234499.72,-897.8333395323198
6276,-1581999.8,-234499.72,-954.6562778666928
6296,-1571999.8,-234499.72,-1246.2685397053656
6316,-1561999.8,-234499.72,-1171.4691140463594
6336,-1551999.8,-234499.72,-831.4292785381323
6356,-1541999.8,-234499.72,-916.7101063331212
6376,-1531999.8,-234499.72,-839.8722489090808
6396,-1521999.8,-234499.72,-758.8760566324545
6417,-1611499.8,-233999.72,-360.3323828456332
6437,-1601499.8,-233999.72,-441.96038334600746
6457,-1591499.8,-233999.72,-1006.6108552744804
6477,-1581499.8,-233999.72,-822.3169242162247
6497,-1571499.8,-233999.72,-1319.5378065161838
6517,-1561499.8,-233999.72,-1119.8718804472207
6537,-1551499.8,-233999.72,-674.319982948088
6557,-1541499.8,-233999.72,-935.2464074165048
6577,-1531499.8,-233999.72,-817.9698552936857
6597,-1521499.8,-233999.72,-955.880665484987
6618,-1610999.8,-233499.72,-99.0436660067716
