,x,y,bedrock_altitude (m)
2535,-1552499.8,-243999.72,-835.5736937376395
2545,-1547499.8,-243999.72,-1123.3632928524623
2555,-1542499.8,-243999.72,-1095.063860625685
2565,-1537499.8,-243999.72,-877.5302522931472
2575,-1532499.8,-243999.72,-836.5716688810835
2585,-1527499.8,-243999.72,-486.09979697018304
2595,-1522499.8,-243999.72,-739.2280272044021
2605,-1617499.8,-243499.72,43.38713545155526
2615,-1612499.8,-243499.72,56.13948834850794
2625,-1607499.8,-243499.72,-373.4780545280386
2635,-1602499.8,-243499.72,-355.1894987678471
2645,-1597499.8,-243499.72,-662.5273876799793
2655,-1592499.8,-243499.72,-1160.494596200518
2665,-1587499.8,-243499.72,-1006.0498170595793
2675,-1582499.8,-243499.72,-1253.9699775888555
2685,-1577499.8,-243499.72,-1210.3048542507995
2695,-1572499.8,-243499.72,-1219.900956339124
2705,-1567499.8,-243499.72,-1200.49768244113
2715,-1562499.8,-243499.72,-1106.0921771139222
2725,-1557499.8,-243499.72,-1094.1859544357064
2735,-1552499.8,-243499.72,-909.723432001284
2745,-1547499.8,-243499.72,-1110.260753965272
2755,-1542499.8,-243499.72,-1095.5113423438004
2765,-1537499.8,-243499.72,-753.6999402100219
2775,-1532499.8,-243499.72,-851.9836305956067
2785,-1527499.8,-243499.72,-666.6009335453045
2795,-1522499.8,-243499.72,-733.1945734442629
2805,-1617499.8,-242999.72,10.360243494517045
2815,-1612499.8,-242999.72,71.31248521819599
2825,-1607499.8,-242999.72,-492.2573123712952
2835,-1602499.8,-242999.72,-387.1933378156613
2845,-1597499.8,-242999.72,-670.8983193495199
2855,-1592499.8,-242999.72,-1123.0685728015492
2865,-1587499.8,-242999.72,-1025.6959183640292
2875,-1582499.8,-242999.72,-1226.9070543187604
2885,-1577499.8,-242999.72,-1258.556570852325
2895,-1572499.8,-242999.72,-1261.5152073906515
2905,-1567499.8,-242999.72,-1216.9256598819063
2915,-1562499.8,-242999.72,-1165.4734256700224
2925,-1557499.8,-242999.72,-1052.3938017765704
2935,-1552499.8,-242999.72,-845.8554789771464
2945,-1547499.8,-242999.72,-1072.4035778009263
2955,-1542499.8,-242999.72,-1109.5406506088775
2965,-1537499.8,-242999.72,-635.7982914850018
2975,-1532499.8,-242999.72,-932.9384275744452
2985,-1527499.8,-242999.72,-712.5694477281
2995,-1522499.8,-242999.72,-728.9318282039512
3005,-1617499.8,-242499.72,93.34694546502136
3015,-1612499.8,-242499.72,-63.2874168851887
3025,-1607499.8,-242499.72,-439.7714779632475
3035,-1602499.8,-242499.72,-432.1544103826068
3045,-1597499.8,-242499.72,-497.03677127152434
3055,-1592499.8,-242499.72,-1005.7800297405878
3065,-1587499.8,-242499.72,-1054.3688382725177
3075,-1582499.8,-242499.72,-1132.5826351755888
3085,-1577499.8,-242499.72,-1199.4388288821226
3095,-1572499.8,-242499.72,-1237.7988291225402
3105,-1567499.8,-242499.72,-1118.3844492626604
3115,-1562499.8,-242499.72,-1150.381558017144
3125,-1557499.8,-242499.72,-1031.261940756668
3135,-1552499.8,-242499.72,-1028.1474287646222
3145,-1547499.8,-242499.72,-1036.9223559405252
3155,-1542499.8,-242499.72,-1009.0202782778682
3165,-1537499.8,-242499.72,-588.4459104203322
3175,-1532499.8,-242499.72,-1039.1361474254895
3185,-1527499.8,-242499.72,-711.4478798456272
3195,-1522499.8,-242499.72,-716.1663042688297
3205,-1617499.8,-241999.72,175.98924832146062
3215,-1612499.8,-241999.72,-79.28381174573049
3225,-1607499.8,-241999.72,-418.4362927895087
3235,-1602499.8,-241999.72,-368.08238799390665
3245,-1597499.8,-241999.72,-562.789368980319
3255,-1592499.8,-241999.72,-1027.9278464081806
3265,-1587499.8,-241999.72,-1110.0588832649528
3275,-1582499.8,-241999.72,-1182.3533323226238
3285,-1577499.8,-241999.72,-1213.2852824773556
3295,-1572499.8,-241999.72,-1306.0241799915011
3305,-1567499.8,-241999.72,-1120.1240937991452
3315,-1562499.8,-241999.72,-1237.5434834434188
3325,-1557499.8,-241999.72,-949.9767231318194
3335,-1552499.8,-241999.72,-907.3911497537524
3345,-1547499.8,-241999.72,-1039.0983855833056
3355,-1542499.8,-241999.72,-964.5474292757998
3365,-1537499.8,-241999.72,-698.8041725578604
3375,-1532499.8,-241999.72,-1031.6741402346938
3385,-1527499.8,-241999.72,-721.8417957525751
3395,-1522499.8,-241999.72,-651.2542800799159
3405,-1617499.8,-241499.72,360.6926488044502
3415,-1612499.8,-241499.72,-12.006607700799506
3425,-1607499.8,-241499.72,-445.14150694246655
3435,-1602499.8,-241499.72,-601.5514070497816
3445,-1597499.8,-241499.72,-559.3729486417217
3455,-1592499.8,-241499.72,-901.9478419400498
3465,-1587499.8,-241499.72,-1111.1882692297013
3475,-1582499.8,-241499.72,-1128.8472622812362
3485,-1577499.8,-241499.72,-1199.6127808113383
3495,-1572499.8,-241499.72,-1291.54632544434
3505,-1567499.8,-241499.72,-1231.2623700222373
3515,-1562499.8,-241499.72,-1231.6333993936291
3525,-1557499.8,-241499.72,-968.8694879844944
3535,-1552499.8,-241499.72,-861.8169330907982
3545,-1547499.8,-241499.72,-1048.8206821420197
3555,-1542499.8,-241499.72,-907.509598785694
3565,-1537499.8,-241499.72,-708.1342673981381
3575,-1532499.8,-241499.72,-1149.624072466206
3585,-1527499.8,-241499.72,-732.6784524995036
3595,-1522499.8,-241499.72,-653.5604152424219
3605,-1617499.8,-240999.72,359.16319815535667
3615,-1612499.8,-240999.72,-247.25995069412548
3625,-1607499.8,-240999.72,-451.26550841575073
3635,-1602499.8,-240999.72,-523.254986034112
3645,-1597499.8,-240999.72,-428.2623238241769
3655,-1592499.8,-240999.72,-926.1232665639228
3665,-1587499.8,-240999.72,-1108.4715064135098
3675,-1582499.8,-240999.72,-1103.6034036683093
3685,-1577499.8,-240999.72,-1220.2906840656842
3695,-1572499.8,-240999.72,-1256.4370756635333
3705,-1567499.8,-240999.72,-1281.3259698566555
3715,-1562499.8,-240999.72,-1250.5876062650054
3725,-1557499.8,-240999.72,-818.6892684111571
3735,-1552499.8,-240999.72,-797.6547218409095
3745,-1547499.8,-240999.72,-1012.4687570486012
3755,-1542499.8,-240999.72,-943.942098209521
3765,-1537499.8,-240999.72,-799.7519212509762
3775,-1532499.8,-240999.72,-1141.487350635381
3785,-1527499.8,-240999.72,-889.3975249921245
3795,-1522499.8,-240999.72,-707.4543934580253
3805,-1617499.8,-240499.72,365.4142576637515
3815,-1612499.8,-240499.72,-307.3487547865141
3825,-1607499.8,-240499.72,-287.237753659382
3835,-1602499.8,-240499.72,-415.8825061500157
3845,-1597499.8,-240499.72,-553.3906672911271
3855,-1592499.8,-240499.72,-775.9018840522243
3865,-1587499.8,-240499.72,-1027.2994464392805
3875,-1582499.8,-240499.72,-1166.5395867681204
3885,-1577499.8,-240499.72,-1039.9267377109952
3895,-1572499.8,-240499.72,-1144.68033368058
3905,-1567499.8,-240499.72,-1267.1970714548606
3915,-1562499.8,-240499.72,-1179.456620140155
3925,-1557499.8,-240499.72,-1041.5619093053615
3935,-1552499.8,-240499.72,-725.0143206152264
3945,-1547499.8,-240499.72,-952.316230679136
3955,-1542499.8,-240499.72,-920.8825508907304
3965,-1537499.8,-240499.72,-856.2893253054972
3975,-1532499.8,-240499.72,-1089.4081531684171
3985,-1527499.8,-240499.72,-712.004472709083
3995,-1522499.8,-240499.72,-732.7171849739738
4005,-1617499.8,-239999.72,352.6864738360135
4015,-1612499.8,-239999.72,-383.9944926944041
4025,-1607499.8,-239999.72,-420.49510142214274
4035,-1602499.8,-239999.72,-583.6242864435577
4045,-1597499.8,-239999.72,-664.2563737024291
4055,-1592499.8,-239999.72,-778.0663775976491
4065,-1587499.8,-239999.72,-959.851601015248
4075,-1582499.8,-239999.72,-1194.879033057475
4085,-1577499.8,-239999.72,-1127.8829828870616
4095,-1572499.8,-239999.72,-1233.8131720688723
4105,-1567499.8,-239999.72,-1257.8148373784898
4115,-1562499.8,-239999.72,-1213.353377973218
4125,-1557499.8,-239999.72,-1162.478082872182
4135,-1552499.8,-239999.72,-807.370869258652
4145,-1547499.8,-239999.72,-938.009670372692
4155,-1542499.8,-239999.72,-848.6025508302823
4165,-1537499.8,-239999.72,-867.913521335977
4175,-1532499.8,-239999.72,-1164.7654594102228
4185,-1527499.8,-239999.72,-758.5462416348645
4195,-1522499.8,-239999.72,-799.9456057756718
4205,-1617499.8,-239499.72,208.72290066073512
4215,-1612499.8,-239499.72,-172.61265517647809
4225,-1607499.8,-239499.72,-216.23235011166483
4235,-1602499.8,-239499.72,-538.8676410346882
4245,-1597499.8,-239499.72,-780.8955722830287
4255,-1592499.8,-239499.72,-773.5076144042324
4265,-1587499.8,-239499.72,-986.3442363344373
4275,-1582499.8,-239499.72,-1284.5876046238925
4285,-1577499.8,-239499.72,-1134.2872192936682
4295,-1572499.8,-239499.72,-1252.3102572924488
4305,-1567499.8,-239499.72,-1244.8148263070352
4315,-1562499.8,-239499.72,-1250.228151215853
4325,-1557499.8,-239499.72,-1143.6920101604132
4335,-1552499.8,-239499.72,-741.3489010553747
4345,-1547499.8,-239499.72,-901.6624360207086
4355,-1542499.8,-239499.72,-911.1875612073868
4365,-1537499.8,-239499.72,-914.280032827456
4375,-1532499.8,-239499.72,-1082.1594362966448
4385,-1527499.8,-239499.72,-808.9238357250559
4395,-1522499.8,-239499.72,-777.4835430996384
4405,-1617499.8,-238999.72,225.1259568005895
4415,-1612499.8,-238999.72,-235.0272627547348
4425,-1607499.8,-238999.72,-220.72543832863235
4435,-1602499.8,-238999.72,-303.2136304772019
4445,-1597499.8,-238999.72,-810.4747242493894
4455,-1592499.8,-238999.72,-857.2808550223764
4465,-1587499.8,-238999.72,-825.0216498273428
4475,-1582499.8,-238999.72,-1239.5682362655302
4485,-1577499.8,-238999.72,-1274.7422684132423
4495,-1572499.8,-238999.72,-1286.2591728624486
4505,-1567499.8,-238999.72,-1242.5500519319671
4515,-1562499.8,-238999.72,-1261.9184597037574
4525,-1557499.8,-238999.72,-1186.808028350045
4535,-1552499.8,-238999.72,-669.0466567641448
4545,-1547499.8,-238999.72,-852.8210086842047
4555,-1542499.8,-238999.72,-946.8722027292112
4565,-1537499.8,-238999.72,-990.280943145468
4575,-1532499.8,-238999.72,-1109.360264398475
4585,-1527499.8,-238999.72,-775.6420939499075
4595,-1522499.8,-238999.72,-652.088612814055
4605,-1617499.8,-238499.72,184.67215374702928
4615,-1612499.8,-238499.72,-71.08430769172139
4625,-1607499.8,-238499.72,-216.1461936237416
4635,-1602499.8,-238499.72,-468.87509406399056
4645,-1597499.8,-238499.72,-807.0886437175458
4655,-1592499.8,-238499.72,-730.1713125935103
4665,-1587499.8,-238499.72,-1012.2385279149058
4675,-1582499.8,-238499.72,-1194.304314518379
4685,-1577499.8,-238499.72,-1242.837272137287
4695,-1572499.8,-238499.72,-1292.9049036427523
4705,-1567499.8,-238499.72,-1244.7889449189092
4715,-1562499.8,-238499.72,-1217.9000278378014
4725,-1557499.8,-238499.72,-1160.2559042107016
4735,-1552499.8,-238499.72,-732.3327024648206
4745,-1547499.8,-238499.72,-915.9666795655826
4755,-1542499.8,-238499.72,-969.6199825607532
4765,-1537499.8,-238499.72,-982.0933083251462
4775,-1532499.8,-238499.72,-1040.7803561104747
4785,-1527499.8,-238499.72,-953.4361850269752
4795,-1522499.8,-238499.72,-693.900687837454
4805,-1617499.8,-237999.72,169.1075642768762
4815,-1612499.8,-237999.72,-137.86829070159888
4825,-1607499.8,-237999.72,-305.93325574398364
4835,-1602499.8,-237999.72,-514.6673633150583
4845,-1597499.8,-237999.72,-715.0888443366975
4855,-1592499.8,-237999.72,-887.7356633136156
4865,-1587499.8,-237999.72,-1191.7020714338848
4875,-1582499.8,-237999.72,-1068.12890563567
4885,-1577499.8,-237999.72,-1273.236002576035
4895,-1572499.8,-237999.72,-1271.514384378015
4905,-1567499.8,-237999.72,-1241.9138185102015
4915,-1562499.8,-237999.72,-1192.551743575756
4925,-1557499.8,-237999.72,-1041.723738335112
4935,-1552499.8,-237999.72,-642.9083535378961
4945,-1547499.8,-237999.72,-907.6364987300516
4955,-1542499.8,-237999.72,-969.8600093942728
4965,-1537499.8,-237999.72,-959.0143035952096
4975,-1532499.8,-237999.72,-970.4863530406324
4985,-1527499.8,-237999.72,-973.9010741258124
4995,-1522499.8,-237999.72,-708.683532933249
5005,-1617499.8,-237499.72,174.59817285653835
5015,-1612499.8,-237499.72,-154.15890128449175
5025,-1607499.8,-237499.72,-289.17365405806225
5035,-1602499.8,-237499.72,-521.293005973131
5045,-1597499.8,-237499.72,-769.5682200591002
5055,-1592499.8,-237499.72,-1000.9162414080504
5065,-1587499.8,-237499.72,-1071.4358559980074
5075,-1582499.8,-237499.72,-1100.2419410180237
5085,-1577499.8,-237499.72,-1281.428489956806
5095,-1572499.8,-237499.72,-1275.2312045624333
5105,-1567499.8,-237499.72,-1291.5952959093795
5115,-1562499.8,-237499.72,-1233.490272057504
5125,-1557499.8,-237499.72,-1202.4134373038955
5135,-1552499.8,-237499.72,-616.7330165151867
5145,-1547499.8,-237499.72,-986.6734091608268
5155,-1542499.8,-237499.72,-731.1264033906931
5165,-1537499.8,-237499.72,-1016.2658639061372
5175,-1532499.8,-237499.72,-934.9999765801298
5185,-1527499.8,-237499.72,-911.0076202228314
5195,-1522499.8,-237499.72,-793.0441096067965
5205,-1617499.8,-236999.72,58.495044657614926
5215,-1612499.8,-236999.72,-164.8132123153584
5225,-1607499.8,-236999.72,-360.2488465111443
5235,-1602499.8,-236999.72,-578.9246261212938
5245,-1597499.8,-236999.72,-674.0936851193931
5255,-1592499.8,-236999.72,-1013.341189333768
5265,-1587499.8,-236999.72,-1186.0809848877368
5275,-1582499.8,-236999.72,-1033.3809983267624
5285,-1577499.8,-236999.72,-1322.8983769757756
5295,-1572499.8,-236999.72,-1274.1144551389104
5305,-1567499.8,-236999.72,-1359.1672786043584
5315,-1562499.8,-236999.72,-1238.6620787561626
5325,-1557499.8,-236999.72,-1204.5203582968577
5335,-1552499.8,-236999.72,-745.729600163942
5345,-1547499.8,-236999.72,-882.8722172238669
5355,-1542499.8,-236999.72,-831.6025548518983
5365,-1537499.8,-236999.72,-946.2802971379124
5375,-1532499.8,-236999.72,-858.8010230173372
5385,-1527499.8,-236999.72,-864.6875995895286
5395,-1522499.8,-236999.72,-842.0680859406364
5405,-1617499.8,-236499.72,25.700478817862304
5415,-1612499.8,-236499.72,-55.964959663657126
5425,-1607499.8,-236499.72,-453.4271077788947
5435,-1602499.8,-236499.72,-534.0499262535661
5445,-1597499.8,-236499.72,-685.5566359216708
5455,-1592499.8,-236499.72,-970.200192712252
5465,-1587499.8,-236499.72,-1173.2198835254935
5475,-1582499.8,-236499.72,-963.0562039639984
5485,-1577499.8,-236499.72,-1245.587521828077
5495,-1572499.8,-236499.72,-1188.9567969073034
5505,-1567499.8,-236499.72,-1328.2060468423228
5515,-1562499.8,-236499.72,-1069.5933830413878
5525,-1557499.8,-236499.72,-1116.7548328335895
5535,-1552499.8,-236499.72,-872.0303074005541
5545,-1547499.8,-236499.72,-975.2623924385116
5555,-1542499.8,-236499.72,-904.4561662554348
5565,-1537499.8,-236499.72,-1115.4990334913462
5575,-1532499.8,-236499.72,-856.650392715654
